w_king_file,w_king_rank,w_rook_file,w_rook_rank,b_king_file,b_king_rank
b,2,d,3,d,4
b,2,d,3,e,2
b,2,d,3,e,3
b,2,d,3,e,4
b,2,d,4,d,3
d,2,g,6,g,7
d,2,g,6,h,5
d,2,g,6,h,6
d,2,g,6,h,7
d,2,g,7,f,6
c,2,a,4,a,1
c,2,a,4,a,2
c,2,a,5,a,1
c,2,a,5,a,2
c,2,a,6,a,1
c,2,d,3,a,2
c,2,d,4,a,1
c,2,d,4,a,3
c,2,d,5,a,1
c,2,d,6,a,1
c,2,d,7,a,1
c,2,d,8,a,1
d,3,b,4,c,1
d,3,b,5,c,1
d,3,b,6,c,1
c,1,f,5,a,1
c,1,f,6,a,1
c,1,f,7,a,1
c,1,f,8,a,1
c,1,g,1,a,1
c,3,b,4,c,1
c,3,b,5,c,1
c,3,b,6,c,1
c,3,b,7,c,1
c,3,b,8,c,1
d,3,e,7,d,1
d,3,e,8,d,1
d,3,f,4,d,1
d,3,f,5,d,1
d,3,f,6,d,1
c,3,c,6,b,1
c,3,c,7,b,1
c,3,c,8,b,1
c,3,d,2,a,1
c,3,d,2,b,1
c,3,d,2,c,1
c,3,d,3,a,1
c,3,d,3,c,1
c,3,e,2,a,1
d,1,g,2,b,1
d,2,e,5,a,1
d,2,e,5,b,1
d,2,e,6,a,1
d,2,e,6,b,1
d,2,e,7,a,1
d,2,e,7,b,1
d,2,e,8,a,1
d,2,e,8,b,1
d,2,f,1,a,1
d,2,f,1,b,1
d,1,e,4,a,3
d,1,e,4,b,1
d,1,e,5,a,1
d,1,e,5,b,1
d,1,e,6,a,1
d,1,e,6,b,1
d,1,e,7,a,1
d,1,e,7,b,1
d,1,e,8,a,1
d,1,e,8,b,1
d,1,a,5,f,1
d,1,a,5,g,1
d,1,a,5,h,1
d,1,a,6,f,1
d,1,a,6,g,1
d,1,a,6,h,1
d,1,a,7,f,1
d,1,a,7,g,1
d,1,a,7,h,1
d,1,a,8,f,1
c,1,b,1,a,2
c,1,b,1,a,4
c,1,b,1,a,6
c,1,b,1,a,8
c,1,b,2,a,2
c,1,b,2,a,4
c,1,b,2,a,6
c,1,b,2,a,8
c,1,b,3,a,5
c,1,b,3,a,6
b,1,b,8,a,3
b,1,b,8,a,4
b,1,b,8,a,5
b,1,b,8,a,6
b,1,c,3,f,1
b,1,c,3,f,2
b,1,c,3,g,1
b,1,c,3,g,2
b,1,c,3,h,1
b,1,c,3,h,2
b,2,b,4,h,1
b,2,b,4,h,2
b,2,b,4,h,3
b,2,b,5,g,1
b,2,b,5,h,1
b,2,b,6,g,1
b,2,b,6,h,1
b,2,b,7,g,1
b,2,b,7,h,1
b,2,b,8,g,1
c,1,a,5,h,4
c,1,a,6,g,2
c,1,a,7,d,8
c,1,a,7,f,8
c,1,a,7,g,2
c,1,a,7,g,8
c,1,a,8,g,2
c,1,b,1,g,2
c,1,b,2,g,2
c,1,b,5,g,2
b,1,f,1,a,6
b,1,f,1,a,7
b,1,f,1,g,4
b,1,f,1,g,6
b,1,f,1,g,8
b,1,f,2,a,6
b,1,f,2,a,7
b,1,f,2,g,8
b,1,f,3,a,6
b,1,f,3,a,7
b,2,f,5,d,1
b,2,f,5,e,1
b,2,f,5,f,1
b,2,f,5,f,2
b,2,f,5,g,2
b,2,f,5,g,3
b,2,f,5,g,7
b,2,f,5,h,2
b,2,f,5,h,3
b,2,f,5,h,4
b,1,c,1,h,4
b,1,c,1,h,5
b,1,c,1,h,6
b,1,c,1,h,7
b,1,c,1,h,8
b,1,c,2,h,3
b,1,c,2,h,4
b,1,c,2,h,5
b,1,c,2,h,6
b,1,c,2,h,7
b,1,b,6,h,5
b,1,b,6,h,6
b,1,b,7,b,4
b,1,b,7,d,2
b,1,b,7,e,2
b,1,b,7,g,3
b,1,b,7,g,7
b,1,b,7,h,4
b,1,b,7,h,5
b,1,b,7,h,6
b,1,b,2,c,3
b,1,b,2,c,4
b,1,b,2,c,5
b,1,b,2,d,2
b,1,b,2,d,3
b,1,b,2,d,4
b,1,b,2,d,5
b,1,b,2,d,6
b,1,b,2,e,3
b,1,b,2,e,4
b,1,f,6,e,2
b,1,f,6,e,3
b,1,f,6,e,4
b,1,f,6,f,2
b,1,f,6,f,3
b,1,f,6,f,4
b,1,f,7,d,5
b,1,f,7,d,6
b,1,f,7,d,7
b,1,f,7,e,5
